Commentaire,Séance,Module,Aspect,Polarité,Sentiment,Attitude,Valeur,Attente
il y a TROP D'INFORMATIONS j'aime pas vraiment,/,SFSD,C,N,M,NE,C,NE
Je trop le cours trop chargé et mal organisé,/,SFSD,S,N,M,NE,NE,NE
Les exemples du déroulement sont bien illustrés,/,SFSD,D,P,J,NE,NE,NE
Le prof est vraiment gentil et répond à toutes les questions je l'adore,/,SFSD,CO,P,J,A,I,NE
"Ce module en ligne est vraiment dur, et je ne vois pas son intérêt",/,SFSD,G,N,M,NE,C,NE
"j'apprécie la méthode de prof, car elle explique en écrivant sur un tableau microsoft je l'adore",/,TSG,Pr,P,J,A,I,NE
J'ai pas aimé vraiment le contenu de ce cours il manquait des exemples,/,TSG,C,N,M,NE,C,NE
"l'organisation logique de cours, permettra mieux lier les notion appris",/,TSG,S,P,J,NE,NE,NE
"Dans ce module on fait les graphes des fonctions et les couleurs n'apportent pas de plus , le plus important et la meilleur chose qui capte l'intension c'est d'expliquer dans un tableau et donner l'application des chose dans le terrain et on a déja ça ",/,TSG,D,P,J,NE,NE,NE
"j'ai aimé la méthode de la prof, elle essaye toujours d'avoir une conversation avec nous je l'adore",/,TSG,CO,P,J,A,I,NE
quand la quantité d'informations est trop et le prof ne coordonne pas le notion entre elle vous perdez la volonté d'étudier en ligne ce qui est mon cas,/,TSG,G,N,M,NE,C,NE
Ennuyant j'arrive à peine à rester éveillé,/,SEC,Pr,N,E,NE,C,NE
"trop théorique, des exemple concret sont nécessaires",/,SEC,C,N,M,NE,NE,NE
design assez bien fait,/,SEC,D,P,J,NE,NE,NE
le prof n'utilise pas le chat et ça me stresse,/,SEC,CO,N,A,NE,C,NE
ce module  est loin d'être suffisant pour s'initier à la sécurité informatique j'ai pas aimé vraiment son déroulement en ligne,/,SEC,G,N,M,NE,C,NE
cours présenté assez bien,/,RES2,Pr,P,J,NE,NE,NE
Le contenu de ce cours est important en général,/,RES2,C,P,J,NE,A,NE
oui bien structuré et organisé ,/,RES2,S,P,J,NE,NE,NE
design très banal j'aime pas ,/,RES2,D,N,M,NE,C,NE
le cours est très dynamique j'aime bien la communication,/,RES2,CO,P,J,NE,I,NE
cours et td mal gérés en ligne j'ai pas aimé du tout ,/,RES2,G,P,J,NE,C,NE
"cours bien expliqué, le prof avance doucement selon le rythme des étudiants, et répond aux questions avec patience je l'adore",/,HPC,Pr,P,J,A,I,NE
très bon contenu j'aime bien,/,HPC,C,P,J,NE,I,NE
très bien organisé,/,HPC,S,P,J,NE,NE,NE
beaucoup de schémas explicatifs j'aime trop,/,HPC,D,P,J,NE,I,NE
Très bonne communication entre le prof et les étudiants j'aime bien,/,HPC,CO,P,J,NE,I,NE
j'ai aimé le déroulement de ce module en ligne,/,HPC,G,P,J,NE,I,NE
"Méthodologie géniale, le prof traite d'exemples réels ce qui nous fait découvrir la vie en entreprise et le monde professionnel je l'adore",/,CPRJ,Pr,P,J,A,I,NE
Contenu assez complet je trouve,/,CPRJ,C,P,J,NE,NE,NE
Structure bonne et logique,/,CPRJ,S,P,J,NE,NE,NE
"Beaucoup d'images et de schémas, ce qui rend le cours attrayant",/,CPRJ,D,P,J,NE,I,NE
"La méthode d'enseignement et de communication est géniale, le prof nous donne énormément d'exemples de la vie réelle",/,CPRJ,CO,P,J,NE,NE,NE
J'adore le contenu et la façon dont ce cours est enseigné le prof est vraiment gentil et attentif,/,CPRJ,G,P,J,A,I,NE
Le cours est assez bien présenté,/,SYSC,Pr,P,J,NE,NE,NE
"Beaucoup d'écriture j'aime pas , si on avait plus d'exemples ça aurait été mieux",/,SYSC,C,N,M,NE,C,NE
"La structure pourrait être améliorée, en enlevant le superflu de texte sinon comme ça j'aime pas trop",/,SYSC,S,N,M,NE,C,NE
Couleurs adéquates pour un cours,/,SYSC,D,P,J,NE,NE,NE
j'aime pas vraiment la communication je stresse tout le temps et ça me déconcentre rapidement ,/,SYSC,CO,N,A,NE,C,NE
Je perds souvent ma concentration au bout d'un certain temps et ça m'énerve,/,SYSC,G,N,C,NE,C,NE
J'aime bien l'énergie du prof et son respect des horaires.,/,ML,Pr,P,J,A,I,NE
"Contenu intéressant, correspond à l'actualité.",/,ML,C,P,J,NE,I,NE
"Très bien structuré, avec un bon ordonnancement des notions.",/,ML,S,P,J,NE,NE,NE
"Des slides clairs, lisibles et surtout expressifs.",/,ML,D,P,J,NE,NE,NE
Tres bonne communication avec des réponses bien structurées aux questions.,/,ML,CO,P,J,NE,NE,NE
"J'attends les prochains cours, spécialement ceux en présentiel",/,ML,G,NE,NE,NE,NE,NE
"Notre prof explique très bien et va doucement tout comme en présentiel, malgré qu'il y'a des coupures de sa part des fois qui ne dépassent pas les 5 min, mais en générale mon commentaire reste positif",/,RES2,Pr,P,J,A,NE,NE
Le contenu des tps ne sont pas très pratiques de les faire en ligne,/,RES2,C,N,M,NE,NE,NE
"Le cours est parfait et très bien structuré, une chose qui est approuvée par plusieurs personnes des années précédentes",/,RES2,S,P,J,NE,NE,NE
Un équilibre parfait entre l'écriture et les schémas,/,RES2,D,P,J,NE,NE,NE
L'enseignant ignore le chat souvent jusqu'à ce qu'il termine la partie abordée entièrement et j'aime pas vraiment cette méthode,/,RES2,CO,N,M,NE,C,NE
" notre prof nous ajoute parfois des séances dans le même jour , c'est qui rond les choses un peu lourdes pour moi",/,RES2,G,N,M,NE,C,NE
"le cours n'est pas bien présenté, certaines loi ne figurent pas dans les slides, l'enseignant parle rapidement on a des difficultés à nous rattraper",/,COFI,Pr,N,M,NE,C,NE
Le contenu de ce cours est très important pour les SIT,/,COFI,C,P,J,NE,U,NE
"Cours mal organisé, beaucoup de redondance des éléments, très chargés, très peu d'exemples",/,COFI,S,N,M,NE,NE,NE
il y'a beaucoup de texte et très peu de schéma,/,COFI,D,N,M,NE,NE,NE
Absence totale de communication entre le prof et les étudiants ce qui rend la séance ennuyante,/,COFI,CO,N,E,NE,C,NE
"Je n'arrive pas à comprendre les lois, ce court nécessite un tableau et non pas un écran c'est stressant vraiment",/,COFI,G,N,A,NE,C,N
Le module est bien présenté et on comprend bien le but de l'unité d'enseignement ainsi que les notions à acquérir.,/,THP,Pr,P,J,NE,NE,NE
"Le cours devrait comprendre plus d'exemples d'application, pur théorie.",/,THP,C,N,M,NE,NE,NE
"Les cours et séances sont mal structuré, avec une cadence très perturbée (condensation en fin de Semestre) et un déséquilibre dans le volume horaire des chapitres",/,THP,S,N,M,NE,NE,NE
"En général les cours sont peu attirant, design médiocre",/,THP,D,N,M,NE,C,NE
Les enseignants sont très actifs et communiquent bien.,/,THP,CO,P,J,NE,NE,NE
"Malgré que c'est un module intéressant, il a laissé une mauvaise trace surtout avec la cadence perturbée",/,THP,G,N,M,NE,C,NE
"J'ai bien aimé la présentation de ce prof, il est mon préféré",/,ASI,Pr,P,J,A,I,NE
Les diapo était bien représenté et bien désigné,/,ASI,D,P,J,NE,NE,NE
"Y avait pas vraiment de communication car les étudiants hésite à participer, c'est pas motivant et ennuyeux ",/,ASI,CO,N,E,NE,C,NE
Le cours de ce prof est parmi les meilleurs cours présenté en ligne,/,ASI,G,P,J,A,NE,NE
"Le cours est bien représenté, et l'enseignant nous donne des exemples concrets",/,TDM1,Pr,P,J,NE,NE,NE
Le contenu de module attire les étudiants car il est pratique,/,TDM1,C,P,J,NE,I,NE
Le cours est bien structuré avec des sections et des titres bien choisis,/,TDM1,S,P,J,NE,NE,NE
Le design et même les couleurs sont bien choisis,/,TDM1,D,P,J,NE,NE,NE
Il demande chaque à fois si on a des questions donc c'est bien,/,TDM1,CO,P,J,NE,NE,NE
Le cours comporte beaucoup de notions mais il nous donne le temp pour les assimiler,/,TDM1,G,P,J,NE,NE,NE
"Le cours a été  présenté comme si on est dans une formation professionnelle , ce qui est bien ",/,BDA,Pr,P,J,NE,NE,NE
Les notions abordés sont mis à jour ce qui très important,/,BDA,C,P,J,NE,NE,NE
Le profs nous donne toujours la possibilité d'interagir avec lui ,/,BDA,CO,P,J,NE,NE,NE
Le cours m'as donné la possibilité de comprendre quelque notions que j'ai entendu parlé pas mal de fois,/,BDA,G,P,J,NE,NE,NE
"l'enseignant présente très bien son cours en utilisant des exemples concrets et des histoires réelles, c'est un bon prof ",/,CPRJ,Pr,P,J,A,NE,NE
il est bien structuré on voit le fil conducteur ,/,CPRJ,C,P,J,NE,NE,NE
le contenu est mal disposé ,/,CPRJ,D,N,M,NE,NE,NE
le prof encourage les étudiants à participer j'aime bien,/,CPRJ,CO,P,J,NE,I,NE
le prof va trop vite dans l'explication donc je me sens perdu et angoissé,/,RES2,Pr,N,A,NE,C,NE
les notions des réseaux sont bien traitées ,/,RES2,C,P,J,NE,NE,NE
Les tds/tps ne sont pas toujours organisés ,/,RES2,S,N,M,NE,NE,NE
"Le design du cours est trop simple, c'est bien",/,RES2,D,P,J,NE,NE,NE
Je n'aime pas la méthode utilisée ( partager un fichier docx et travailler ensemble ) ,/,RES2,CO,N,M,NE,C,NE
"Généralement le module est très intéressant, ses notions sont très importantes et bien présentées",/,RES2,G,P,J,NE,I,NE
Le rythme est trop rapide ,/,RES2,Pr,N,M,NE,NE,NE
contenu bien détaillé,/,RES2,C,P,J,NE,NE,NE
le cour est bien structuré on voit le flow entre les titres ,/,RES2,S,P,J,NE,NE,NE
les slides sont très simples ils contiennent tout ce qu'il faut pour la compréhension ,/,RES2,D,P,J,NE,NE,NE
le professeur incite les étudiants à poser des questions ,/,RES2,CO,P,J,NE,NE,NE
"je perds le fil vers la fin du cours quand il y a beaucoup de contenu et la durée est un peu longue, surtout qu'on est à notre troisième semestre en ligne ce dernier est de plus en plus fatiguant, je me sens angoissé ",/,RES2,G,N,A,NE,C,NE
La façon de présentation du cours est bien organisé et structuré,/,RES2,Pr,P,J,NE,NE,NE
Les notions présentées dans le cours est une combinaison de la partie théorique et aussi la partie pratique qui est un motivant pour les étudiants de suivre et concentrer pendant le cours,/,RES2,C,P,J,NE,I,NE
"Le cours contient plus de texte que des images , en plus le thème , le design n'est pas modern et attirant",/,RES2,D,N,M,NE,C,NE
"Je n'arrive pas a comprendre 100% le contenu du cours vu que les coupures d'internet , d'électricité sont fréquent dans notre pays :)",/,RES2,G,N,M,NE,C,N
Il faut une nouvelle structuration j'ai pas aimé ,/,IPLS,S,N,M,NE,C,NE
j'ai adoré ce module,/,IPLS,G,P,J,NE,I,NE
"J'ai pas apprécié la présentation du cours , ça se résumait à la lecture des slides",/,TPGO,Pr,N,M,NE,C,NE
c'est un peu trop chargé fallait diviser le programme en deux semestre pour assimiler les notions correctement,/,TPGO,C,N,M,NE,NE,NE
Les notions sont ordonnées logiquement ,/,TPGO,S,P,J,NE,NE,NE
"Absence de couleurs , schémas quasi inexistant , zero photos , ce cours a vraiment un design des années 90 ",/,TPGO,D,N,M,H,NE,NE
"Mauvaise communication, le prof ne tient pas compte de l'état des étudiant il a meme pas voulu discuté des cours inclut à l'examen c'est énervant  mauvais exemple comme prof",/,TPGO,CO,N,C,H,C,NE
"Ce cours était un calvaire pour la majorité des étudiants de ma promo et même des autres promo, c'est très énervant",/,TPGO,G,N,C,H,C,NE
"contenue très important, explication très attirante, Pas ennuyeux, le prof utilise des exemples qui nous font bien comprendre. C'est le meilleur",/,TDM1,C,P,J,A,I,NE
"Si seulement tous les modules étaient enseignées de la même manière, j'aime trop la structure de prof dans ce cours",/,TDM1,S,P,J,A,I,NE
"Très bonne communication entre le prof et les étudiants, après chaque partie expliquée on peut poser nos questions.",/,TDM1,CO,P,J,NE,NE,NE
J'ai compris 98% du cours aujourd’hui ^^,/,TDM1,G,P,J,NE,NE,NE
"L'enseignante explique de manière très rapide; la quantité d'information est très grande, on n'arrive pas à suivre et à assimiler, c'est vraiment énervant",/,SGBD,Pr,N,C,NE,C,N
"le contenue de cours est important, mais j'aime pas le fait de mettre le texte en anglais et d'expliquer en français , j'arrive pas à suivre , je suis perdu et angoissé",/,ALOG,C,N,A,NE,C,N
Nous sommes au début mais je ne comprends toujours pas l'objectif derrière quelques notions abordées. ,/,MCSI,Pr,N,M,NE,NE,NE
"À mon avis, il peut avoir un peu plus de couleurs et de schémas.",/,MCSI,D,N,M,NE,NE,NE
L'enseignante ne communique pas avec les étudiants. c'est dégoûtant,/,MCSI,CO,N,E,NE,C,NE
Jusqu'à présent j'ai pas bien compris les notions de ce cours.,/,MCSI,G,N,M,NE,NE,NE
La méthode dont le prof présente son cours donne l'impression que même lui n'a pas bien saisi les notions grave vraiment Sa méthode est mauvaise,/,RES1,Pr,N,M,H,C,NE
"il ne donne jamais d'importance au design, des textes randoms partout, les couleurs et les tailles de police ne sont pas unifiées ",/,RES1,D,N,M,NE,NE,NE
Le prof nous donne la main de gérer la séance .. et il essaye toujours de répondre aux questions,/,RES1,CO,P,J,NE,NE,NE
C'est un module très intéressant et plus au moins bien fait en ligne,/,RES1,G,P,J,NE,I,NE
"Le cours est trop chargé et très long,  beaucoup de choses à savoir ",/,PRST2,C,N,M,NE,C,NE
Il y a peu de schémas ,/,PRST2,D,N,M,NE,NE,NE
J'arrive pas a suivre le professeur je me perds tout le temps avec sa façon de faire les choses en ligne et ça me stresse,/,PRST2,G,N,A,NE,C,N
Contenu pas bien exposé ,/,SINF,C,N,M,NE,NE,NE
J'aime bien la présentation et la méthode adaptée pour ce cours en ligne ,/,ANAL2,Pr,P,J,NE,I,NE
J'aime vraiment ce cours il est bien structuré et dans un ordre très logique,/,ANAL2,S,P,J,NE,I,NE
la méthode de présentation est bien organisée,/,ALSDS,Pr,P,J,NE,NE,NE
Trop de couleurs et c'est très utile j'adore,/,ALSDS,D,P,J,NE,I,NE
"La présentation, ils passent juste des slides , et il y a pas assez d'exemple pour mieux comprendre, c'est ennuyeux",/,ARCHI2,Pr,N,E,NE,C,NE
"Oui  j'aime bien le contenu  , car on fait juste la théorie en cours ",/,ARCHI2,C,P,J,NE,I,NE
"Ya pas beaucoup d'explication dans le cours, c'est très bien tout est résumé",/,ARCHI2,C,P,J,NE,NE,NE
il y a pas des images et des exemples de programmation ,/,ARCHI2,D,N,M,NE,NE,NE
L'enseignant nous laisse poser nos questions et ils nous encourage à le faire je l'adore,/,ARCHI2,CO,P,J,A,I,NE
"La leçon est complexe et ne convient pas à un suivi en ligne. La plupart d'entre nous n'ont pas compris les leçons à distance, c'est stressant",/,ARCHI2,G,N,A,NE,C,NE
Le contenue de cours est complexe. Le comprendre est difficile en ligne et demande beaucoup de temps et d'efforts.,/,ARCHI2,C,N,M,NE,C,N
La présentation de la leçon n'est pas claire et difficile à comprendre.,/,ARCHI2,Pr,N,M,NE,C,N
les slides sont très riches,/,POO,D,P,J,NE,NE,NE
"Il ya pas mal d'exemples de programmation et des exemples par des diagrammes, j'aime bien",/,POO,C,P,J,NE,I,NE
"l'ordre n'ai pas bon, ex: il y a des remarques qui doivent etre avec l'exemple dans l'ordre  logique pour expliquer et bien compris la remarque .",/,POO,S,N,M,NE,NE,NE
"La communication est bien , car le prof vérifie à chaque fois s'il y a une question dans le chat",/,POO,CO,P,J,NE,NE,NE
"J'arrive à comprendre plus de 60% des nouvelles notions , donc j'aime bien la méthode du prof il est si intelligent",/,POO,G,P,J,A,I,N
"J'aime bien la présentation du cours, ça attire mon attention ",/,POO,Pr,P,J,NE,I,NE
"Le contenu est assez riche je trouve, et chaque notion importante est suivie d'un exemple",/,POO,C,P,J,NE,I,NE
"Le cours est bien structuré, il commence par les bases et les notions simples, ensuite il aborde les points plus complexe",/,POO,S,P,J,NE,NE,NE
Quelques diapositives contiennent trop de texte à mon avis j'aime pas trop,/,POO,D,N,M,NE,C,NE
"Bonne méthode je trouve, l'enseignant laisse les étudiants poser les questions à tout moment et fait de son mieux pour transmettre l'information, c'est un bon prof",/,POO,CO,P,J,A,NE,NE
"Un inconvénient que je trouve, c'est la quantité de connaissances. Comme vous le savez, un cours en ligne dure une heure seulement, elle n'est pas du tout suffisante pour traiter tous les points programmés ce qui fait que l'enseignant va un peu trop vite parfois ",/,POO,G,N,M,NE,C,NE
il y'a beaucoup de coupure et le prof parfois nous n'entend pas c'est stressant quand même d'avoir une mauvaise connexion,/,ELECT2,G,N,A,NE,C,NE
le cours est le meilleur avec ce merveilleux prof,/,ELECT2,G,P,J,A,I,NE
je n'aime pas la méthode d'analyse il faut que le prof écrit dans le word ou un éditeur pour que les étudiants se branchent avec lui parce que s' il expose le cours cela ne change rien pour nous,/,BWEB,Pr,N,M,NE,C,NE
"Durant les séances de tds on ne peut pas traiter autant d'exercices à cause de temps limité  et même les exercices traités ne sont pas traités d'une bonne façon, c'est énervant",/,ALG2,Pr,N,C,NE,C,NE
Il manque des exemples et des explications comment faire ça et cela ,/,ALG2,C,N,M,NE,NE,NE
Malheureusement le cours est tout en noir j'aimerais bien encadré les définitions importantes  et les propriétés et montrer les étapes des solution en utilisant les couleurs ,/,ALG2,D,N,M,NE,NE,NE
J'ai aimé bien la méthode de dialogue entre le prof et les étudiants et surtout entre les  étudiants car leurs idées sont proches et on peut comprendre mieux d'un camarade que le prof parfois ,/,ALG2,CO,P,J,NE,I,NE
Un module très intéressant avec la meilleure prof que j'aime trop,/,POO,Pr,P,J,A,I,NE
un contenu riche et varié et très utile pour la programmation,/,POO,C,P,J,NE,U,NE
Le cours est bien structuré avec des exemples et illustrations,/,POO,S,P,J,NE,NE,NE
"Le design est plutôt correct, équilibré en termes de textes et d'illustrations",/,POO,CO,P,J,NE,NE,NE
Les connaissances  acquises sont très bénéfiques et j'ai aimé bien la méthode en ligne,/,POO,G,P,J,NE,I,NE
"le prof utilise des espaces de travail scientifiques qui facilitent la  tâche, de même il nous donne des exemples et nous envoie les solutions en temps ce qui nous aide vraiment, c'est un bon prof qui maîtrise son travail
donc j'aime la façon de présentation du cours",/,ANAL4,Pr,P,J,A,I,NE
Le contenu du cours est intéressant et le tout a un degré acceptable d'importance,/,ANAL4,C,P,J,NE,I,NE
Le programme est enchainé d'une manière logique et j'aime l'organisation,/,ANAL4,S,P,J,NE,I,NE
La présentation est simple et bonne,/,ANAL4,D,P,J,NE,NE,NE
"J'aime que notre professeur nous donne des exemples qu'on traite ensemble et je préfère de rien changer, c'est la meilleure méthode avec le bon prof, je l'admire beaucoup ",/,ANAL4,CO,P,J,A,I,NE
Le cours d'analyse nous donne une vision plus logique sur le monde et on a appris beaucoup,/,ANAL4,G,P,J,NE,I,NE
La présentation du cours est parfaite.,/,ANAL4,Pr,P,J,NE,NE,NE
La présentation du cours est concise et compréhensible.,/,ANAL4,Pr,P,J,NE,NE,NE
Le cours contient beaucoup de slides c'est trop,/,ANAL4,D,N,M,NE,NE,NE
Il y'a des points que je n'arrive pas à comprendre et assimiler en ligne,/,ANAL4,G,N,M,NE,C,N
j'arrive bien à suivre le cours en ligne je n'ai pas de problème ,/,POO,G,P,J,NE,NE,P
pour le moment la structure est bien organisée ,/,POO,S,P,J,NE,NE,NE
Il y a une bonne communication et une magnifique interaction entre nous tous c'est vraiment motivant,/,POO,CO,P,J,NE,I,NE
Un cours en ligne assez intéressant et applicable ,/,POO,G,P,J,NE,I,NE
le prof a bien expliqué les choses même si en ligne j'ai aimé sa façon de parler et exposer son cours,/,ALG2,Pr,P,J,A,I,NE
Contenu pas riche en exemple,/,ALG2,C,N,M,NE,NE,NE
j'aime vraiment ce cours il est bien structuré ,/,ALG2,S,P,J,NE,I,NE
" Le cours contient que du texte, c'est trop ennuyeux",/,ALG2,D,N,E,NE,C,NE
Trés bonne explication et présentation pour ce cours,/,POO,Pr,P,J,NE,NE,NE
Le contenu est riche en informations,/,POO,C,P,J,NE,NE,NE
On comprend très bien ce cours en ligne,/,POO,G,P,J,NE,NE,NE
"Les cours et les tds sont bien faits et bien organisés, on arrive a suivre facilement.",/,ANAL4,G,P,J,NE,NE,P
"Le cours contient juste les informations utiles, de plus, il porte des animations, ce qui nous aide pour rester concentrés",/,ANAL4,D,P,J,NE,U,NE
"On peut poser des questions à tout moment, et la communication passe très bien j'aime .",/,ANAL4,CO,P,J,NE,I,NE
C'est clairement le moins bon Mooc qu'il m'aie été donné de suivre.,/,reussir-le-changement,G,N,M,NE,NE,NE
Je trouve le contenu léger et les questions du quizz assez faible (pas d'examen final ce qui décrédibilise le Mooc dans son ensemble).,/,reussir-le-changement,C,N,M,NE,NE,NE
"Un seul des orateurs s'exprime avec naturel et passion (mes enfants de 12 et 16 ans ainsi mon épouse s'étonnaient du manque d'entrain des orateurs), les autres lisent un script ce qui nuit à la crédibilité de l'intervenant. Je me demande si les intervenants ont une expérience de la vie professionnelle en entreprise (je me suis dit à plusieurs reprise que ce n'était probablement pas le cas)",/,reussir-le-changement,Pr,N,M,NE,NE,NE
C'est mon premier Mooc en Français après avoir suivi des Mooc en Anglais (Berkley & Hong Kong polytechnic) et m'attendais franchement a mieux de la part d'une des meilleurs business scholl française. Toutes mes excuses pour ce retour lapidaire mais c'est le juste résume de mon sentiment.,/,reussir-le-changement,G,N,M,NE,NE,NE
"Personnellement, j'ai été vraiment, vraiment déçu par ce cours. Je m'attendais à toute autre chose.",/,reussir-le-changement,G,N,M,NE,NE,NE
"Il n'y a que quelques vidéos qui sont réellement intéressantes, le reste est principalement de la théorie (certes, il faut passer par là!) mais avec extrêmement peu, voir aucun, cas concret.",/,reussir-le-changement,C,N,M,NE,NE,NE
"De plus, j'ai pu remarquer des incohérences. Par exemple, dans la vidéo sur la communication, il est dit qu'il faut passer ""éventuellement"" par la formation et l'accompagnement. Éventuellement ? Non, il FAUT passer par la formation et l'accompagnement. La plupart des changements échouent parce qu'on ne fait QUE de la comm', et j'ai pu encore récemment voir un échec due à ça dans mon travail. Et justement la vidéo d'après dit clairement que la formation est un levier indispensable !!",/,reussir-le-changement,C,N,M,NE,NE,NE
"Vous devriez réellement mettre des cas concrets, vérifier vos quizz, et aussi changer certaines prises vidéos (quand on voit des personnes en train de téléphoner avec l'air fatigué, ça ne donne pas envie de suivre les discours parfois utiles...). Ce n'est pas très pro, et on a l'impression que tout ça a été fait à la va-vite (même si ça n'a pas l'air d'être le cas, pourtant !).",/,reussir-le-changement,C,N,M,NE,NE,NE
"En outre, les quizz sont vraiment étranges. Certaines des réponses me semblent en décalage par rapport à ce qui est dit dans le cours, voir n'est tout simplement pas dit, ou bien utilise du vocabulaire différent (ce que je déteste en général dans un MOOC). Soit vous gardez le même vocabulaire, soit vous faites un lexique !Je reste vraiment sur ma faim.",/,reussir-le-changement,C,N,M,NE,NE,NE
Très déçue! Les premiers modules ne sont pas trop mal et assez intéressants mais ils manquent toutefois d'illustrations précises. Les quizz des deux derniers modules sont hors sujet. On n'a par exemple jamais étudié le ROI d'un projet de conduite de changement et pourtant il y'a une question à ce sujet ! On aborde très rapidement et de manière théorique la part en pourcentage de la conduite de changement sur un projet mais il aurait été préférable d'avoir plus de matière à ce sujet. Je m'attendais aussi à ce qu'il y'ait des travaux personnels à rendre en plus des quizz. Les quizz ne permettent pas du tout de vérifier des connaissances car parfois on répond au pif étant donné que les questions n'ont pas toujours été étudiées !,/,reussir-le-changement,C,N,M,NE,NE,NE
"Quel dommage ! Dernier point, les discussions sur le forum datent d'il y'a 2 mois voire un an donc ne donnent pas du tout envie de participer ! Ce cours mérite t'il vraiment d'exister? Je regrette d'avoir payé 50€ pour un certificat qui ne vaut strictement RIEN ! Honte à l'ESSEC !",/,reussir-le-changement,CO,N,C,H,C,NE
"Les présentations orales des intervenants sont très inégales, dans plusieurs quiz, les questions et réponses proposées ne sont pas en ligne avec le contenu de la vidéo, certains cours s'intéressent plus à vendre le cursus de formation que de donner du contenu pertinent. Il y a même certains quiz qui posent des questions sur le contenu des cours présentiels... Quand on paie une formation en ligne, ce n'est pas pour être certifié sur la connaissance du contenu d'un programme présentiel.",/,reussir-le-changement,Pr,N,M,H,NE,NE
"Contenu très théorique et parfois un peu basique. Les examens ne sont pas du tout challengeant pour vérifier la bonne compréhension des enjeux et du sujet.Le sujet de pilotage du changement (comment suivre et mesurer le changement) mériterait d'être plus approfondit.Absence de support écrit. Il aurait été bienvenu de détailler, d'expliquer et d'avoir un support explicatif voire un template et des exmples pour tous les outils du changement cités.",/,reussir-le-changement,C,N,M,NE,NE,NE
Il manque cependant fortement de situations pratiques et de cas concrets. Gros bémol sur la qualité des interventions (hormis pour l'intervenant principal) et des quiz qui sont ... bizarres !,/,reussir-le-changement,C,N,M,NE,NE,NE
Cours intéressant qui permet de poser des bases théoriques. En quelques heures on a une bonne appréhension du cadre global.,/,reussir-le-changement,G,P,J,NE,I,NE
"Ce MOOC traite en réalité de:""Réussir en interne d'une entreprise un changement décidé par les managers""N'est pas traité: tout le reste.",/,reussir-le-changement,G,NE,NE,NE,NE,NE
il manque clairement un cas pratique pour appliquer tout au long du mooc les principes et méthodes décrites. Manque d'interactivité,/,reussir-le-changement,C,N,M,NE,NE,NE
"Très sommaire, j'espérais plus de détails notamment sur les outils mentionnés dans le MOOC.",/,reussir-le-changement,C,N,M,NE,NE,NE
Assez déçu par ce MOOC très peu documenté et qui rencontre quelque problèmes techniques.,/,reussir-le-changement,C,N,M,NE,NE,NE
Trop théorique.,/,reussir-le-changement,C,N,M,NE,NE,NE
"On est trop perturbé par les personnes au téléphone derrière l'enseignant, la présentatrice qui lit ses notes ou la diction peu soignée où l'on perd 10% des mots prononcés",/,reussir-le-changement,Pr,N,M,NE,NE,NE
"Ce cours m'a permis de revoir et mettre à jour mes connaissances de la conduite du changement, avec une approche beaucoup plus agile. Je recommande de vraiment professionnaliser ce MOOC avec des vidéos de meilleure qualité.",/,reussir-le-changement,G,P,J,NE,NE,NE
"Je reste relativement satisfaite car j'ai pu apprendre 2-3 petites choses mais après avoir fait ""animer une séance collaborative"", ""innovation managériale en pratique"" et celle-ci, je pense que c'est mon dernier mooc que je ferai avec l'Essec.",/,reussir-le-changement,G,P,J,NE,U,NE
Très théorique et superficiel. Les quizz sont hors-sujet et le fait de faire la promotion d'une autre formation délivrée par la Chaire Essec était très dérangeant .,/,reussir-le-changement,C,N,M,NE,NE,NE
"Très académique, théorique et magistral. L'un des professeurs lit même son texte, mal, et on se croirait revenu à l'école de papa. Pour des professionnels du changement, ça manque singulièrement de dynamisme, de mise en contexte, d'innovation. Je ne leur confierais pas un projet en entreprise, j'aurais peur d'avoir une grève.",/,reussir-le-changement,Pr,N,M,NE,NE,NE
"Puis, le cours tourne un peu en rond, à répéter les mêmes choses de façon différente sans rentrer proprement dit dans les détails.",/,reussir-le-changement,Pr,NE,NE,NE,NE,NE
Les premières semaines sont intéressantes avec une bonne entrée en la matière.,/,reussir-le-changement,G,P,J,NE,NE,NE
"Adapté aux très grosses entreprises, mais à mon sens peu utile pour des PME/TPE",/,reussir-le-changement,G,N,M,NE,NE,NE
"Néanmoins, il n'est pas au niveau de ce que l'on peut attendre d'une grande école comme l'ESSEC. Les interventions sont très inégales et parfois très peu naturelles, il y a un vrai manque d'enthousiasme et de volonté de transmettre.",/,reussir-le-changement,Pr,N,M,NE,NE,NE
"Certaines notions nécessiteraient d'être approfondies, c'est très lapidaire sur certains points. A souligner un manque cruel d'exemples, d'anecdotes, de cas pratiques qui permettent de mettre du ""concret"" sur cet amas de notions théoriques. Enfin des quiz qui ont seulement le mérite d'exister mais qui n'ont aucun intérêt (parfois changeant de vocabulaire ou même sans lien avec les éléments développés dans la vidéo). Utile pour la culture G mais pas pour une utilisation professionnelle.",/,reussir-le-changement,C,N,M,NE,NE,NE
Cours intéressant qui permet de reposer les bases théoriques de la conduite du changement.,/,reussir-le-changement,G,P,J,NE,I,NE
