Commentaire,Séance,Module,Aspect,Polarité,Sentiment,Attitude
"Je n'ai pas aimé la méthode de communication, à cause du temps limité de la séance",/,TDM2,CO,N,M,NE
Ce cours permet d'acquérir et de comprendre de nouvelles notions très importantes surtout pour notre formation surtout avec ce prof attentionné ,/,TDM2,G,P,J,A
La manière dont le cours a été présenté n'est pas du tout attractive j'aime pas trop,/,ALOG,Pr,N,M,NE
Un manque considérable d'exemples et d'applications concrètes de ce qui est présenté,/,ALOG,C,N,M,NE
Le cours est mal organisé et très chargé,/,ALOG,S,N,M,NE
"Le cours est plutôt bien fait du côté design, les couleurs sont bien choisies et la police est pas assez mal",/,ALOG,D,P,J,NE
Un manque flagrant de communication entre l'enseignant et l'étudiant.Les questions sont souvent ignorées car l'enseignant ne prête pas attention au chat son but et de terminer ce qui était prévu pour la séance et c'est tout ça rend le cours stressant,/,ALOG,CO,N,A,NE
Ce cours n'a rien apporté de nouveau,/,ALOG,G,N,M,NE
Le professeur s'attarde sur les détails ce qui fait oublier l'objectif du cour. Les slides sont presque vide donc on ne pourra pas réviser plus tard ,/,COMPIL,Pr,N,M,NE
Le contenu est important mais pas bien présenté ça aurait été mieux de faire plus d'exemple et éclaircir l'objectif du module ,/,COMPIL,C,N,M,NE
Des cours pas bien organisés,/,COMPIL,S,N,M,NE
Le cours contient peu de texte et presque que des schémas ,/,COMPIL,D,N,M,NE
"Mauvaise communication avec les étudiants, j'aime pas vraiment la méthode du prof des fois ça me donne envie de le tuer tellement il m'énerve",/,COMPIL,CO,N,C,H
Je n'est pas bien compris ce qu'on a fait et où on en est je suis tout le temps perdu  ,/,COMPIL,G,N,A,NE
La présentation du cours est assez bien et claire ,/,ML,Pr,P,J,NE
Le contenu du cours est assez important mais ça aurait été mieux si on faisait plus de tp et qu'on les corrigeait pour en comprendre mieux,/,ML,C,P,J,NE
Le cours est bien structuré et organisé ,/,ML,D,P,J,NE
Un bon design avec un équilibre entre les schémas tableaux et textes ,/,ML,D,P,J,NE
Je n'aime pas le fait que les étudiants peuvent poser les questions qu'à la fin ce n'est pas une bonne méthode pour bien comprendre le cours,/,ML,CO,N,M,NE
Beaucoup de connaissances en un cours avec une prof agréable ,/,ML,G,P,J,A
La présentation est bien et claire,/,RDCR,Pr,P,J,NE
Le contenu des cours est très importante et riche ,/,RDCR,C,P,J,NE
Une bonne structuration ,/,RDCR,S,P,J,NE
Beaucoup de texte brut,/,RDCR,D,N,M,NE
Il y a que le prof qui parle on s'ennuie vite ,/,RDCR,CO,N,E,NE
J'ai bien suivi au début mais j'ai perdu le fils plus tard ,/,RDCR,G,N,M,NE
La présentation du cours est magnifique,/,PDC,Pr,P,J,NE
Le cours est très important et riche en terme d'exemples ,/,PDC,C,P,J,NE
Plutôt je dirais très structuré ,/,PDC,S,P,J,NE
"Y a des slides avec beaucoup de texte, j'aimerais bien voir des schéma c'est mieux pour comprendre ",/,PDC,D,N,M,NE
Très bonne communication en cours  j'aime bien le comportement de l'enseignante avec nous,/,PDC,CO,P,J,A
Le module est trop chargé j'arrive pas à tout assimiler en ligne ,/,PDC,G,N,M,NE
Cours bien présenté rien à dire,/,QLOG,Pr,P,J,NE
Contenu académique  certainement important,/,QLOG,C,P,J,NE
Cours structuré,/,QLOG,S,P,J,NE
J'aime pas le design des slides,/,QLOG,D,N,M,NE
J'aime pas la méthode de dialogue utilisé en TD ,/,QLOG,CO,N,M,NE
C'est trop chargé,/,QLOG,G,N,M,NE
La présentation du cours est assez bien faite,/,QLOG,Pr,P,J,NE
Le cours comporte beaucoup d'exemples et cela permet de mieux comprendre ,/,QLOG,C,P,J,NE
Le cours est très bien structuré et suit un ordre logique ,/,QLOG,S,P,J,NE
"Tout est modéré, pas assez d'images et trop de texte ",/,QLOG,D,N,M,NE
Possibilité d'intervenir et de poser des questions à n'importe quel moment j'aime bien le prof,/,QLOG,CO,P,J,A
Ce cours m'a assez plu ,/,QLOG,G,P,J,NE
"Le prof utilise le tableau blanc, mais il a une mauvaise caméra on voit presque 144p donc on n'arrive pas à suivre parce que c'est impossible de suivre le flou",/,ALG3,Pr,N,M,NE
Des notions intéressantes et contenu riche ,/,ALG3,C,P,J,NE
je pense qu'il n y a pas de communication du tout présentation puis vous avez compris ou non et c'est fini il m'énerve ce prof,/,ALG3,CO,N,C,H
Je n'arrive pas à comprendre et à suivre en distanciel ,/,ALG3,G,N,M,NE
Cours sous forme d'une séance de lecture  le prof ne fait que lire le contenue les slides un par un sans arrêt et on sait tous le faire nous on veut comprendre,/,ECON,Pr,N,M,H
Trop de texte dans un même slide,/,ECON,D,N,M,NE
Il n'y a pas vraiment une communication,/,ECON,CO,N,M,NE
Le distanciel a rendu le cours moins intéressant dommage,/,ECON,G,N,M,NE
"Le fait que ça soit aussi rapide m'a perturbé, je n'arrivais pas vraiment à suivre.",/,ARCH1,G,N,A,NE
Très bonne communication avec le prof j'aime bien,/,ARCH1,CO,P,J,A
Le design est très basique,/,ARCH1,D,N,M,NE
Je trouve la méthodologie du professeur désorganisée et je me sens mal à l'aise avec le déroulement des séances,/,THP,Pr,N,A,NE
"Le contenu du cours est intéressant et motivant, j'aime bien les notions qu'il nous apporte",/,THP,C,P,J,NE
Je me perds parfois durant le passage d'un chapitre à un autre,/,THP,S,N,M,NE
Il peut avoir un peu plus de couleurs à mon avis. Il est très simple et ordinaire,/,THP,D,N,M,NE
Il m'arrive souvent durant la séance que je m'ennuie car il y a peu d'interaction,/,THP,CO,N,E,NE
J'ai quand même appris beaucoup de notions,/,THP,G,P,J,NE
Le prof expliquait d'une manière fluide et directe le cours en utilisant un langage simple je l'adore,/,OUTILS,Pr,P,J,A
"Le cours contenait des exemples parlants et directs, cela m'a permis de comprendre directement l'utilité de l'élément présenté.",/,OUTILS,C,P,J,NE
Un cours qui expose les éléments d'une manière très cohérente avec des rubriques spéciales pour les éléments d'exception.,/,OUTILS,S,P,J,NE
Un design simple et minimaliste mais qui contient le nécessaire comme des fragments du code.,/,OUTILS,D,P,J,NE
"Une très bonne communication, le prof est toujours présent pour nous orienter et nous guider je l'apprécie vraiment",/,OUTILS,CO,P,J,A
J'ai apprécié ce cours car j'ai pu acquérir beaucoup de connaissances sur les outils de génie logiciel notamment les tests. C'est l'un des modules que j'ai aimé suivre en ligne ,/,OUTILS,G,P,J,NE
J'adore la présentation et l'explication du prof tout est détaillé,/,SGBD,Pr,P,J,A
des notions intéressantes et contenu riche,/,SGBD,C,P,J,NE
cours structuré et organisé,/,SGBD,S,P,J,NE
design attirant,/,SGBD,D,P,J,NE
"J'aime bien la communication qui est entre nous et le profs, on pose nos questions quand on veut",/,SGBD,CO,P,J,A
La façon d'enseigner ce cours en ligne est juste parfaite rien à dire j'étais toujours motivée à suivre.,/,SGBD,G,P,J,A
"On dirait une séance de lecture, j'ai pas aimé la façon de présenter le cours la prof est ennuyante",/,IHM,Pr,N,E,H
Des notions théoriques très intéressantes ,/,IHM,C,P,J,NE
Le cours est organisé et bien structuré,/,IHM,S,P,J,NE
Trop de textes et peu de schéma ce qui vraiment perturber ma concentration,/,IHM,D,N,M,NE
"Il n'y a pas vraiment une communication, des fois on s'arrête juste pour voir s'il y a des questions et ça rend le cours ennuyant",/,IHM,CO,N,E,NE
"Je me sentais pas à l'aise durant le cours, aucune motivation pour suivre",/,IHM,G,N,A,NE
"J'ai pas aimé la présentation et la méthode du profs, je m'ennuyais",/,ALOG,Pr,N,E,NE
"le contenu est important mais non détaillé, il faut toujours voir ailleurs pour bien comprendre",/,ALOG,C,N,M,NE
je trouve que le cours est structuré,/,ALOG,S,P,J,NE
Il est simple et ça ne me gêne pas,/,ALOG,D,P,J,NE
il y a pas vraiment une interaction entre nous vu que déjà y a peu d'étudiants présents dans ce cours ça donne pas envie d'assister avec le profs qui s'en fout,/,ALOG,CO,N,M,H
"il faut revoir la façon de présenter et expliquer le cours, vraiment j'avais du mal à comprendre directement.",/,ALOG,G,N,M,NE
cours bien présenté et expliqué,/,BDM,Pr,P,J,NE
Contenu important avec des nouvelles notions chaque séance,/,BDM,C,P,J,NE
Le cours est logique et organisé,/,BDM,S,P,J,NE
Trop de formules et textes,/,BDM,D,N,M,NE
On se communique bien avec le profs que j'adore et entre nous ce qui rend la séance active,/,BDM,CO,P,J,A
"J'étais toujours motivée durant les séances de ce cours, j'aime bien les notions abordées et les interactions avec le profs et mes amis.",/,BDM,G,P,J,A
Le prof lit les slides rapidement,/,TDM1,Pr,N,M,NE
"je trouve que le contenu du cours n'est pas vraiment riche, il contient seulement les notions de base",/,TDM1,C,N,M,NE
je trouve que le cours est organisé,/,TDM1,S,P,J,NE
"il y a beaucoup de couleurs, ça pique les yeux",/,TDM1,D,N,M,NE
il n'y a pas de communication entre  le prof et les étudiants c'est ennuyant,/,TDM1,CO,N,E,NE
je n'aime pas le cours car c'est un module de développement normalement on essaie de programmer et non pas de lire les notions de base  ,/,TDM1,G,N,M,NE
le prof lisait seulement les slides ,/,TDM1,Pr,N,M,NE
le contenu est bon mais le prof donne les exemples juste en parlant et ne les présentent pas ,/,TDM1,C,N,M,NE
le cours a un ordre logique,/,TDM1,S,P,J,NE
trop de couleur dans tous les slides ,/,TDM1,D,N,M,NE
une bonne communication lorsqu'on pose des questions j'aime bien,/,TDM1,CO,P,J,A
je préfère la pratique dans les cours de développement ,/,TDM1,G,NE,NE,NE
présentation catastrophique le prof répète les même slides plusieurs fois je l'aime pas  ,/,ALOG,Pr,N,M,H
contenu vide pas trop d'exemples pour comprendre ,/,ALOG,C,N,M,NE
le cour est mal structuré,/,ALOG,S,N,M,NE
il y a pas les schémas et beaucoup de texte,/,ALOG,D,N,M,NE
"le prof ne comprend pas nos questions ou il fait semblant , il répond toujours à ce qu'il veut lui c'est énervant",/,ALOG,CO,N,C,H
j'aime pas le prof il n'essaye pas de nous comprendre et il fait pas des efforts pour changer sa méthode et nous mettre à l'aise c'est pas la bonne méthode pour étudier l'architecture logicielle en tout cas,/,ALOG,G,N,M,H
le prof répète les même choses et n'explique pas les notions complexes peut être lui aussi il ne les a pas compris,/,ALOG,Pr,N,M,H
contenu intéressant ,/,ALOG,C,P,J,NE
la structure de cours est bonne,/,ALOG,S,P,J,NE
pas de tout un design très moche,/,ALOG,D,N,M,NE
une bonne communication avec le prof,/,ALOG,CO,P,J,NE
cour très agréable j'aime,/,ALOG,G,P,J,NE
l'enseignante parle trop c'est ennuyant,/,QLOG,Pr,N,E,H
le cours contient des bons exemples pour comprendre,/,QLOG,C,P,J,NE
il y a l'enchaînement entre les titres mais pas bien organisé,/,QLOG,S,N,M,NE
beaucoup de texte au point auquel vous pouvez pas tout lire,/,QLOG,D,N,M,NE
une bonne communication durant la séances,/,QLOG,CO,P,J,NE
"cour ennuyeux en ligne, je préfère quand on le faisait en présentiel   ",/,QLOG,G,N,E,NE
j'aime bien la présentation de l'enseignante,/,QLOG,Pr,P,J,A
un bon contenu pour comprendre la qualité du logiciels,/,QLOG,C,P,J,NE
le cour est bien organisé,/,QLOG,S,P,J,NE
"le design n'est pas vraiment bon, je préféré s'il contient moins de texte et plus du schémas explicatifs ",/,QLOG,D,N,M,NE
"j'aime bien la façon de la communication avec la prof, je l'aime bien",/,QLOG,CO,P,J,A
le cours est bien et la méthode d'enseignement est aussi magnifique ,/,QLOG,G,P,J,A
la présentation du prof est très rapide ,/,SGBD,Pr,N,M,NE
trop de contenu pour peu d'informations et répétitions des notions ,/,SGBD,C,N,M,NE
"cour pas bien organisé, on se sent perdu si on le lit seul",/,SGBD,S,N,M,NE
trop de texte et de couleurs,/,SGBD,D,N,M,NE
l'enseignante ne donne pas le temps au étudiants pour poser trop de questions et ça me stresse ,/,SGBD,CO,N,A,NE
"cours trop compliqué, le distanciel le rend encore pire",/,SGBD,G,N,M,NE
La présentation est très rapide ,/,SGBD,Pr,N,M,NE
contenu important mais trop d'informations ,/,SGBD,C,N,M,NE
les slides sont bien structurés,/,SGBD,S,P,J,NE
le design est trop chargé ,/,SGBD,D,N,M,NE
j'aime bien la méthode faite par l'enseignant pour communiquer ça rend la séance dynamique et active,/,SGBD,CO,P,J,A
"très important, c'est un bon cours",/,SGBD,G,P,J,NE
c'est comme une séance de lecture ,/,IHM,Pr,N,M,NE
contenu très basique et manque de nouvelles méthodes et idée pour l'interface homme machine ,/,IHM,C,N,M,NE
le cour est organisé avec un bon ordre,/,IHM,S,P,J,NE
"beaucoup de texte, tailles des images pas adaptatives",/,IHM,D,N,M,NE
un peu de communication la prof est ennuyante,/,IHM,CO,N,E,H
cours important mais la méthode d'enseignement pas bonne et contient des anciennes informations ,/,IHM,G,N,M,NE
l'enseignant présente bien le cours j'aime bien,/,IHM,Pr,P,J,A
contenu très riche,/,IHM,C,P,J,NE
le cour n'est pas bien structuré,/,IHM,S,N,M,NE
design très ancien qui respecte pas les notions des ihm,/,IHM,D,N,M,NE
l'enseignante accepte tout genre de questions et remarques j'adore,/,IHM,CO,P,J,A
cours essentiel pour comprendre comment faire les bonnes interfaces ,/,IHM,G,P,J,NE
"présentation catastrophique, l'enseignante présente des notions difficile juste en lisant les diapos  ",/,ML,Pr,N,M,H
contenu très important et bon ,/,ML,C,P,J,NE
cour pas du tout structuré,/,ML,S,N,M,NE
mauvais design,/,ML,D,N,M,NE
 Je n'aime pas la méthode de laisser les questions à la fin de la séance ça me stresse,/,ML,CO,N,A,NE
 j'ai pas bien compris les notions présentées en ligne,/,ML,G,N,M,NE
l'enseignante est dynamique j'adore,/,ML,Pr,P,J,A
contenu très intéressant ,/,ML,C,P,J,NE
j'aime pas la structure,/,ML,S,N,M,NE
" design trop classique, on peut faire mieux pour un module de machine learning",/,ML,D,N,M,NE
très satisfaite par la communication de l'enseignante j'aime bien,/,ML,CO,P,J,A
un cours bien avec la meilleure enseignante,/,ML,G,P,J,A
l'enseignant présente bien le cours j'adore,/,PDJ,Pr,P,J,A
contenu de base seulement ,/,PDJ,C,N,M,NE
pas bien organisé et mal structuré,/,PDJ,S,N,M,NE
un bon design pas trop chargé c'est bien,/,PDJ,D,P,J,NE
Manque de  communication durant la séance je m'ennuyais ,/,PDJ,CO,N,E,NE
je préfère si on programme durant la séance et pas seulement faire les notions théoriques car comme ça c'est vraiment ennuyant  ,/,PDJ,G,N,E,NE
la présentation est bien et pas très compliquée,/,PDJ,Pr,P,J,NE
contenu de base important ,/,PDJ,C,P,J,NE
cour très bien organisé et structuré,/,PDJ,S,P,J,NE
un bon design,/,PDJ,D,P,J,NE
"le prof est gentil, il répond à tous les questions ",/,PDJ,CO,P,J,A
un bon cours pour apprendre les bases de programmation en django dans une petite période,/,PDJ,G,P,J,NE
J'ai aimé la méthode du profs,/,QLOG,Pr,P,J,A
Le contenu était trop informatif j'adore,/,QLOG,C,P,J,NE
cours organisé,/,QLOG,S,P,J,NE
"Le design est pas mal , il y 'avait pas trop de texte",/,QLOG,D,P,J,NE
"une très bonne communication entre le prof et nous, à tout moment on peut prendre la parole je l'aime",/,QLOG,CO,P,J,A
"Le seul module ou je n'étais pas stressée derrière mon écran et ça grâce à la méthode du prof, il me motive",/,QLOG,G,P,J,A
C'est trop chargé en paroles,/,IGL,Pr,N,M,NE
"Le contenu est suffisant, assez riche",/,IGL,C,P,J,NE
L'ordre est logique,/,IGL,S,P,J,NE
Pas d'animations,/,IGL,D,N,M,NE
Il y a pas de l'interaction,/,IGL,CO,N,M,NE
"C'est assez riche en informations, cependant le support me semble suffisant ",/,IGL,G,P,J,NE
"L'algorithmique est l'un des modules fondamentaux dans notre formation , j'aime pas la présentation du prof car il est  ennuyant et je pense que lire des slides seulement ne va pas nous apporter grand chose vu qu'on peut le faire seuls ",/,ALSDS,Pr,N,E,H
Ça aurait été mieux si y’avais plus de pratique ,/,ALSDS,C,N,M,NE
Le programme est riche et très intéressant ,/,ALSDS,S,P,J,NE
il a l'air bien mais ce n'est pas si important car on nous envoie même pas le cours présenté pas la prof x),/,ALSDS,D,N,M,NE
vu que y'avais pas assez de temps la prof a préféré qu'on pose nos questions sur un sheet pour qu'elle réponde à la fois ,/,ALSDS,CO,NE,NE,NE
c’est l’un de mes modules préférés mais y’avais pas assez de temps pour bien se concentrer ,/,ALSDS,G,P,J,NE
Le cours est trop chargé,/,ANAD,Pr,N,M,NE
Le cours d'anad se concentre beaucoup sur le côté mathématique ( application des formules .. ) ça serait plus intéressant de se concentrer sur le côté analyse des données et laisser les calculs pour R,/,ANAD,C,NE,NE,NE
Le cours est assez bien organisé,/,ANAD,S,P,J,NE
Cours trop chargé de formules et texte,/,ANAD,D,N,M,NE
L'enseignante va très vite et la plupart n'arrivent pas à suivre,/,ANAD,CO,N,M,NE
Ce cours est très compliqué ,/,ANAD,G,N,M,NE
"le professeur n'était pas doué pour expliquer les concepts sans tableau blanc et sans le format d'enseignement habituel, d'autant plus que le module contient beaucoup de mathématiques.",/,ANAD,Pr,N,M,H
le cours n'a pas assez d'explications sur l'intuition derrière ce que nous étudiions.,/,ANAD,C,N,M,NE
le cours est bien structuré.,/,ANAD,S,P,J,NE
je pense qu'ils ont utilisé du latex qui était bon.,/,ANAD,D,P,J,NE
Très bonne communication entre le prof et les étudiants,/,ANAD,CO,P,J,NE
le contenu du cours est très riche,/,ANAD,G,P,J,NE
J'ai bien aimé la bonne présentation du prof et la structure du document pdf,/,ALSDS,Pr,P,J,A
Le cours contient beaucoup d'exemples ce qui facilite la compréhension,/,ALSDS,C,P,J,NE
Le cours était très bien structuré et lisible,/,ALSDS,S,P,J,NE
Les couleurs étaient bien choisies et les pages n'étaient pas trop chargées,/,ALSDS,D,P,J,NE
Très bonne communication,/,ALSDS,CO,P,J,NE
Ce cours m'a beaucoup plu,/,ALSDS,G,P,J,NE
J'aime bien la présentation de ce cours.,/,SFSD,Pr,P,J,NE
Le contenu de ce cours est très important.,/,SFSD,C,P,J,NE
 j’aime vraiment ce cours il est bien structuré et dans un ordre très logique.,/,SFSD,S,P,J,NE
"Il y a peu d'images et schémas, Le cours contient beaucoup de texte.",/,SFSD,D,N,M,NE
Je n'aime pas la méthode de laisser les questions à la fin de la séance car c'est énervant .,/,SFSD,CO,N,C,NE
le cour de SFSD m'a rendu angoissé .,/,SFSD,G,N,A,NE
Le cours est bien présenté,/,AQUA,Pr,P,J,NE
Le contenu est très enrichissant,/,AQUA,C,P,J,NE
Bien structuré,/,AQUA,S,P,J,NE
Les slides sont bien présenté,/,AQUA,D,P,J,NE
"Le prof communique bien avec les étudiants et raconte des faits réel qui aident à nous mettre dans la situation et  comprendre, c'est le meilleur prof",/,AQUA,CO,P,J,A
Ce cours est très intéressant,/,AQUA,G,P,J,NE
La présentation du prof est parfaite ,/,ALSDS,Pr,P,J,A
"tout est parfait avec ce prof, je l'adore",/,ALSDS,C,P,J,A
"super organisé , le temps nous suffit toujours ",/,ALSDS,S,P,J,NE
le design est parfait ,/,ALSDS,D,P,J,NE
"on pose des questions à tout moment , le prof gère bien ça, il est super compétent ",/,ALSDS,CO,P,J,A
"on comprend tous , sans exception ",/,ALSDS,G,P,J,NE
La méthode de l'enseignement était formidable c'est ma préférée,/,ANAL3,Pr,P,J,A
Le programme contient des cours pas du tout importants ,/,ANAL3,C,N,M,NE
Cours bien structuré et bien expliqué ,/,ANAL3,S,P,J,NE
Cours bien designé ,/,ANAL3,D,P,J,NE
La communication est très bonne ,/,ANAL3,CO,P,J,NE
C'est pas intéressant d'étudier ce module,/,ANAL3,G,N,M,NE
La présentation était bonne,/,ELECT,Pr,P,J,NE
Ça serait mieux si le cours avait plus d'exemples,/,ELECT,C,NE,NE,NE
Le cours était ordonné,/,ELECT,S,P,J,NE
Le design était correct,/,ELECT,D,P,J,NE
"coupures et problèmes de connexion, ca m'énerve",/,ELECT,CO,N,C,NE
Quelques notions sont difficiles à comprendre,/,ELECT,G,NE,NE,NE
"Il présente le cours doucement et nous donne tout le détail qui nous besoin, c'est un prof tres tres gentil",/,OUTILS,Pr,P,J,A
Le contenu de ce module est très intéressant pour un ingénieur de génie logiciel,/,OUTILS,C,P,J,NE
"Il présente le cours de plus large au plus détaillé donc il garde l'attention de l'étudiant, j'aime vraiment sa méthode",/,OUTILS,S,P,J,A
"Le cours contient les choses importantes , le style de ppt est simple .",/,OUTILS,D,P,J,NE
Après chaque point abordé il nous pose la question si nous avons des questions donc une très bonne méthode de communication,/,OUTILS,CO,P,J,NE
"Le cours en général est très intéressant et le profs le présent avec une très bonne méthode, il est formidable",/,OUTILS,G,P,J,A
le cours est bien présente ,/,ANAL3,Pr,P,J,NE
"je sais pas pourquoi il il ya beaucoup de chose abstrait a savoire , le temps ne suffit pas pour bien les comprendre",/,ANAL3,C,N,M,NE
"le prof utilise un text editor pour tapper les theoremes , les preuves j c pas , ca prend bcp de temps et c'est pas efficace du tout",/,ANAL3,S,N,M,NE
"pas de design du tout , même les polycopiés sont classique et manque d'exemple bien illustré, c'est pas motivant",/,ANAL3,D,N,E,NE
c'est difficile de poser des questions et le temps ne suffit pas pour communiquer bien avec le prof,/,ANAL3,CO,N,M,NE
j'aime bien que la méthode soit changer pour mieux comprendre.,/,ANAL3,G,N,M,NE
"Je n'aime pas la façon dont le professeur présente le cours sans interaction avec les étudiants, comme si nous connaissions ce module par cœur, c'est très frustrant",/,SFSD,Pr,N,A,NE
J'aurais aimé avoir plus de ressources et plus d'informations au début du module afin de bien comprendre les notions de blocs et de buffers au lieu d'apprendre les algorithmes par cœur,/,SFSD,C,N,M,NE
"Je n'aime pas la structure du cours, on est passé des tris de fichiers aux arbres puis on est revenu sur les opérations sur les fichiers, ce qui me rend confuse",/,SFSD,S,N,F,NE
"Les schémas sont petits avec très très peu de commentaires, impossible de comprendre tout seul quand on revoit les slides",/,SFSD,D,N,M,NE
Quasiment pas d'interactions avec les étudiants,/,SFSD,CO,N,M,NE
Je n'ai toujours pas commencé à réviser ce module tellement je me sentais perdu durant les séances cours,/,SFSD,G,N,F,NE
"J'apprécis beaucoup la manière avec laquelle le prof expose son cours, il est très compétent",/,OUTILS,Pr,P,J,A
Le contenu du cours est très intéressant c'est un module pratique dont on voit l'utilité directement,/,OUTILS,C,P,J,NE
Cours très organisé,/,OUTILS,S,P,J,NE
Les slides ne sont pas chargé c'est très équilibré,/,OUTILS,D,P,J,NE
Interaction bien faite même si on ne connaît pas la reponse le prof répond directement. Il répond au questions par partie du cours pas tout à la fin c'est assez pratique,/,OUTILS,CO,P,J,NE
J'ai aimé ce cours en ligne tout était parfait sans oublier le prof qui est trop attentionné et gentil avec nous,/,OUTILS,G,P,J,A
"La prof passe trop vite sur les slides et  donne beaucoup d'informations à la fois , ce qui m'empêche à bien assimiler les concepts de cours",/,SYS1,Pr,N,M,NE
le contenu est très riche et contient beaucoup d'exemples,/,SYS1,C,P,J,NE
le cours est structuré,/,SYS1,S,P,J,NE
"Les slides pleins de texte , la chose qui nous distrait entre la lecture de slide ou entendre la prof.",/,SYS1,D,N,M,NE
il y'a une communication normale,/,SYS1,CO,P,J,NE
"en gros , j'ai aimé la présentation du cours du SYS1",/,SYS1,G,P,J,NE
"J'aime bien la présentation du cours, les idées sont claires et ordonnées j'aime bien la façon d'explication du prof",/,BDA,Pr,P,J,A
"Le contenu est très important, les notions abordées sont nouvelles et utiles, il contient également des exemples qui nous aident à bien comprendre le cours",/,BDA,C,P,J,NE
"le cours est très bien structuré, Les idées sont bien organisées dans un ordre logique.",/,BDA,S,P,J,NE
"Le design est simple, il y a plus de texte mais c'est logique car il y a beaucoup de nouvelles notions, les schémas sont clairs.",/,BDA,D,P,J,NE
"Lorsqu'on ne comprend pas quelque chose on peut poser des questions ce qui est bien parce que je n'aime pas laisser les questions à la fin, de plus parfois l'enseignant nous pose des questions pour savoir si nous avons compris ou pas prof très agréable avec nous",/,BDA,CO,P,J,NE
Par contre je n'aime pas une séance qui est très active c'est à dire une séance question réponse.,/,BDA,CO,N,M,NE
Je pense que le programme est tellement chargé et il n y a pas assez du temps de plus c'est en ligne j'arrive pas a comprendre bien comme le présentiel je stresse ,/,BDA,G,N,A,NE
La présentation de cours est très simple et bien expliqué j'aime bien ,/,ARCH2,Pr,P,J,NE
le contenu de cours est riche et important,/,ARCH2,C,P,J,NE
le cours est bien structuré,/,ARCH2,S,P,J,NE
le cours est attractif,/,ARCH2,D,P,J,NE
"une bonne communication entre nous, le prof est vraiment gentil avec nous il nous laisse intervenir quand on veut ",/,ARCH2,CO,P,J,A
module très intéressant et compréhensible même si en ligne et je trouve que c'est grâce à la méthode du prof et sa façon de faire les choses,/,ARCH2,G,P,J,A
L'enseignant présente son cours de manière très claire et concise et adaptée à l'enseignement à distance je l'adore,/,FASI,Pr,P,J,A
Le contenu de ce cours est très important,/,FASI,C,P,J,NE
Cours très bien organisé,/,FASI,S,P,J,NE
Le cours est simple sans couleurs j'aime pas ,/,FASI,D,N,M,NE
Le design a une mise en forme très explicite j'aime ,/,FASI,D,P,J,NE
"Très bonne communication, le prof nous pousse et motivé à poser des questions après chaque notion expliquée, il aime trop son travail et j'adore ça  ",/,FASI,CO,P,J,A
Ce cours m'a permis de me réconcilier avec les probabilités et statistiques avec lesquelles je me suis fâchée pendant si longtemps grâce à la méthode de prof qui me motive tellement,/,FASI,G,P,J,A
"un cours bien expliqué, J'aime bien la présentation ",/,ALG,Pr,P,J,NE
contenu mathématique intéressant ,/,ALG,C,P,J,NE
cours très bien structuré .,/,ALG,S,P,J,NE
j'aime pas vraiment le design car il y'a que de textes et formules je veux des schémas ,/,ALG,D,N,M,NE
La présentation de cours est excellente j'aime le prof,/,ANAL,Pr,P,J,A
Le contenu pleins d'exemples et explications j'aime bien,/,ANAL,C,P,J,NE
Très bien organisé,/,ANAL,S,P,J,NE
Trop de couleurs ça me pique les yeux,/,ANAL,D,N,M,NE
Très bonne Communication entre le prof et nous,/,ANAL,CO,P,J,NE
ce cours en ligne me rend angoissé,/,ANAL,G,N,A,NE
cours très bien passé et présenté,/,ARCH,Pr,P,J,NE
le contenu du cours n'est pas assez suffisant pour bien comprendre,/,ARCH,C,N,M,NE
bien structuré ,/,ARCH,S,P,J,NE
"le prof utilise une tablette tactile pour expliquer, et avec des couleurs c'était bien organisé et parfait",/,ARCH,D,P,J,NE
il répond toujours aux questions posés même si la durée du cours est courte trop gentil le prof son but est qu'on comprend tous,/,ARCH,CO,P,J,A
Je ne pouvais pas rater les séance de ce cours le prof me motive et me pousse à assister je l'aime trop ,/,ARCH,G,P,J,A
en tp le prof présente nos solutions j'aime bien !,/,ALSDS,Pr,P,J,NE
"Contenu de cours important, en tp il nous donne des programme de nos collègues et on les corrige je trouve ça très intelligent de sa part",/,ALSDS,C,P,J,A
nous prenons beaucoup de temps faire des choses simples donc on n'arrive pas à terminer l'exercice dans la même séance,/,ALSDS,G,N,M,NE
design simple et clair j'aime bien,/,ALSDS,D,P,J,NE
il nous donne la possibilité de donner nos avis et nos pensées il est trop gentil et attentif ,/,ALSDS,CO,P,J,A
ça s'est bien passé j'ai trop aimé les séance en ligne ,/,ALSDS,G,P,J,NE
"L'enseignant utilise l'outil Jambord de Google pour introduire les exemples et les solutions, ce qui est bien.",/,THP,Pr,P,J,NE
"J'aime le contenu de ce module, même sa théorie.",/,THP,C,P,J,NE
Je pense que le cours est bien structuré.,/,THP,S,P,J,NE
il y'a pas trop de couleurs il m'ennuie comme ça,/,THP,D,N,E,NE
l'enseignants accept toutes les façons de communication j'aime bien ça il est gentil,/,THP,CO,P,J,A
"le  rythme de ce module était très élevé, ce qui n'est pas bon.",/,THP,G,N,M,NE
Le cours est très bien présenté,/,ARCH2,Pr,P,J,NE
Pleins d'exemples sont donnés mais nous les avons pas sur les slides dommage,/,ARCH2,C,N,M,NE
Oui le cours est très bien structuré et dans un ordre logique,/,ARCH2,S,P,J,NE
